"id","code","name","note","user_type_id:id","reconcile","chart_template_id:id"
"account_template_poppi_111_01_01","111.01.01","CAIXA - MATRIZ","","account.data_account_type_liquidity","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_111_02_01","111.02.01","BCO 01","","account.data_account_type_liquidity","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_111_03_01","111.03.01","APLICACOES FINANCEIRAS","","account.data_account_type_liquidity","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_111_04_01","111.04.01","TRANSFERENCIA DE LIQUIDEZ","","account.data_account_type_liquidity","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_01_01","112.01.01","CLIENTES E DUPLICATAS A RECEBER","","account.data_account_type_receivable","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_02_01","112.02.01","VALORES A RECEBER - EXPORTACAO","","account.data_account_type_receivable","1","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_04_01","112.04.01","(-) DUPLICATAS DESCONTADAS","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_06_01","112.06.01","ENDOSSO DE TERCEIROS","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_01","112.07.01","ICMS A RECUPERAR","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_02","112.07.02","IPI A RECUPERAR","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_03","112.07.03","ICM - CREDITO ACUMULADO","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_04","112.07.04","CONTRIBUICAO SOCIAL A RECUPERAR","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_05","112.07.05","IMPOSTO RENDA S/LUCRO A RECUPERAR","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_06","112.07.06","PIS A RECUPERAR","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_07","112.07.07","COFINS PIS CSLL A RECUP S/M OBRA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_08","112.07.08","COFINS A RECUPERAR","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_09","112.07.09","IPI A COMPENSAR (PER/DECOMP)","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_10","112.07.10","IRRF A RECUPERAR - MATRIZ","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_11","112.07.11","IPI RESSARCIMENTO","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_12","112.07.12","TRIBUTOS A RECUPERAR - CREDITOS REINTEGRA","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_07_13","112.07.13","SDO NEGAT I.RENDA C.SOCIAL PERDCOMP","","account.data_account_type_non_current_liabilities","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_09_01","112.09.01","IR FONTE","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
"account_template_poppi_112_10_01","112.10.01","IPI/ICM","","account.data_account_type_current_assets","","l10n_br_coa_poppi_chart_template"
